Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
19/08/16,Adanaspor,Bursaspor,1,2,A,1,0,H,,,,,,,,,,,,,,4.2,3.6,1.83
20/08/16,Besiktas,Alanyaspor,4,1,H,2,0,H,,,,,,,,,,,,,,1.36,4.75,8.5
20/08/16,Rizespor,Konyaspor,1,1,D,0,0,D,,,,,,,,,,,,,,3,3.2,2.4
20/08/16,Trabzonspor,Kasimpasa,2,0,H,1,0,H,,,,,,,,,,,,,,2.2,3.3,3.3
21/08/16,Antalyaspor,Osmanlispor,0,0,D,0,0,D,,,,,,,,,,,,,,2.45,3.3,2.8
21/08/16,Buyuksehyr,Fenerbahce,1,0,H,1,0,H,,,,,,,,,,,,,,3.25,3.25,2.2
21/08/16,Genclerbirligi,Gaziantepspor,2,0,H,1,0,H,,,,,,,,,,,,,,1.85,3.5,4.2
21/08/16,Kayserispor,Akhisar Belediyespor,0,2,A,0,0,D,,,,,,,,,,,,,,2,3.3,3.8
22/08/16,Galatasaray,Karabukspor,1,0,H,0,0,D,,,,,,,,,,,,,,1.62,3.75,5.5
26/08/16,Alanyaspor,Antalyaspor,2,1,H,0,1,A,,,,,,,,,,,,,,3.1,3.3,2.3
26/08/16,Konyaspor,Besiktas,2,2,D,1,1,D,,,,,,,,,,,,,,3.3,3.4,2.15
27/08/16,Akhisar Belediyespor,Galatasaray,1,3,A,1,1,D,,,,,,,,,,,,,,2.88,3.2,2.5
27/08/16,Gaziantepspor,Trabzonspor,1,0,H,0,0,D,,,,,,,,,,,,,,3.2,3.25,2.25
27/08/16,Kasimpasa,Adanaspor,1,1,D,1,0,H,,,,,,,,,,,,,,1.67,3.75,5
28/08/16,Bursaspor,Buyuksehyr,0,2,A,0,1,A,,,,,,,,,,,,,,2.1,3.4,3.4
28/08/16,Fenerbahce,Kayserispor,3,3,D,2,2,D,,,,,,,,,,,,,,1.4,4.33,8.5
28/08/16,Karabukspor,Rizespor,3,0,H,1,0,H,,,,,,,,,,,,,,2,3.3,3.8
28/08/16,Osmanlispor,Genclerbirligi,2,2,D,2,1,H,,,,,,,,,,,,,,1.91,3.4,4
10/09/16,Adanaspor,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,,2.3,3.25,3.1
10/09/16,Besiktas,Karabukspor,3,1,H,2,0,H,,,,,,,,,,,,,,1.4,4.5,8
10/09/16,Buyuksehyr,Kasimpasa,3,1,H,0,1,A,,,,,,,,,,,,,,1.73,3.5,5
10/09/16,Genclerbirligi,Alanyaspor,0,0,D,0,0,D,,,,,,,,,,,,,,1.73,3.6,4.75
10/09/16,Kayserispor,Galatasaray,1,1,D,1,1,D,,,,,,,,,,,,,,3.3,3.4,2.15
11/09/16,Antalyaspor,Konyaspor,1,3,A,0,0,D,,,,,,,,,,,,,,2.63,3.2,2.7
11/09/16,Fenerbahce,Bursaspor,0,1,A,0,1,A,,,,,,,,,,,,,,1.44,4.33,7
11/09/16,Rizespor,Akhisar Belediyespor,1,0,H,0,0,D,,,,,,,,,,,,,,2.7,3.25,2.6
11/09/16,Trabzonspor,Osmanlispor,0,2,A,0,1,A,,,,,,,,,,,,,,2.15,3.2,3.5
16/09/16,Bursaspor,Kayserispor,3,1,H,1,1,D,,,,,,,,,,,,,,2,3.5,3.6
16/09/16,Karabukspor,Antalyaspor,3,2,H,0,0,D,,,,,,,,,,,,,,2.1,3.4,3.4
17/09/16,Alanyaspor,Trabzonspor,3,0,H,0,0,D,,,,,,,,,,,,,,3,3.2,2.4
17/09/16,Galatasaray,Rizespor,2,0,H,1,0,H,,,,,,,,,,,,,,1.36,4.33,9.5
18/09/16,Akhisar Belediyespor,Besiktas,0,2,A,0,2,A,,,,,,,,,,,,,,3.5,3.4,2.05
18/09/16,Gaziantepspor,Buyuksehyr,0,1,A,0,0,D,,,,,,,,,,,,,,5,3.4,1.75
18/09/16,Konyaspor,Genclerbirligi,1,1,D,0,1,A,,,,,,,,,,,,,,2,3.3,3.8
18/09/16,Osmanlispor,Adanaspor,1,0,H,0,0,D,,,,,,,,,,,,,,1.5,3.8,7.5
19/09/16,Kasimpasa,Fenerbahce,1,5,A,0,3,A,,,,,,,,,,,,,,4.75,3.6,1.75
23/09/16,Antalyaspor,Akhisar Belediyespor,0,0,D,0,0,D,,,,,,,,,,,,,,2.4,3.1,3.1
24/09/16,Besiktas,Galatasaray,2,2,D,0,2,A,,,,,,,,,,,,,,1.91,3.5,4
24/09/16,Buyuksehyr,Osmanlispor,2,2,D,0,1,A,,,,,,,,,,,,,,2.05,3.4,3.6
24/09/16,Trabzonspor,Konyaspor,1,0,H,0,0,D,,,,,,,,,,,,,,2.25,3.25,3.2
25/09/16,Bursaspor,Kasimpasa,1,0,H,0,0,D,,,,,,,,,,,,,,1.65,3.5,5.75
25/09/16,Fenerbahce,Gaziantepspor,2,1,H,1,0,H,,,,,,,,,,,,,,1.2,6.5,13
25/09/16,Genclerbirligi,Karabukspor,2,0,H,0,0,D,,,,,,,,,,,,,,2.05,3.2,3.8
25/09/16,Kayserispor,Rizespor,2,1,H,2,0,H,,,,,,,,,,,,,,1.73,3.5,5
26/09/16,Adanaspor,Alanyaspor,3,2,H,2,1,H,,,,,,,,,,,,,,2.75,3.3,2.5
30/09/16,Akhisar Belediyespor,Genclerbirligi,0,0,D,0,0,D,,,,,,,,,,,,,,2.45,3.2,2.88
01/10/16,Gaziantepspor,Bursaspor,3,2,H,1,1,D,,,,,,,,,,,,,,3.75,3.4,2
01/10/16,Karabukspor,Trabzonspor,4,0,H,0,0,D,,,,,,,,,,,,,,2.7,3.1,2.7
01/10/16,Kasimpasa,Kayserispor,3,1,H,0,1,A,,,,,,,,,,,,,,2.63,3.4,2.55
01/10/16,Rizespor,Besiktas,0,1,A,0,0,D,,,,,,,,,,,,,,7,4,1.5
02/10/16,Alanyaspor,Buyuksehyr,0,5,A,0,1,A,,,,,,,,,,,,,,3.5,3.3,2.1
02/10/16,Galatasaray,Antalyaspor,3,1,H,0,1,A,,,,,,,,,,,,,,1.4,4.5,7.5
02/10/16,Konyaspor,Adanaspor,1,0,H,0,0,D,,,,,,,,,,,,,,1.5,3.75,7.5
02/10/16,Osmanlispor,Fenerbahce,1,1,D,1,0,H,,,,,,,,,,,,,,2.9,3.25,2.4
15/10/16,Adanaspor,Karabukspor,1,2,A,0,2,A,,,,,,,,,,,,,,2.88,3.4,2.38
15/10/16,Genclerbirligi,Galatasaray,0,1,A,0,1,A,,,,,,,,,,,,,,3,3.4,2.3
15/10/16,Kasimpasa,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,,1.91,3.6,3.8
15/10/16,Kayserispor,Besiktas,0,1,A,0,0,D,,,,,,,,,,,,,,4.33,4,1.7
16/10/16,Bursaspor,Osmanlispor,0,0,D,0,0,D,,,,,,,,,,,,,,2.88,3.3,2.4
16/10/16,Buyuksehyr,Konyaspor,1,1,D,0,0,D,,,,,,,,,,,,,,1.91,3.4,4
16/10/16,Fenerbahce,Alanyaspor,1,1,D,1,0,H,,,,,,,,,,,,,,1.25,6,10
16/10/16,Trabzonspor,Akhisar Belediyespor,0,0,D,0,0,D,,,,,,,,,,,,,,2,3.4,3.75
