Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
05/08/22,Istanbulspor,Trabzonspor,0,2,A,0,1,A,,3,13,2,5,13,11,1,10,2,2,0,0,4.7,3.75,1.61
06/08/22,Sivasspor,Gaziantep,1,1,D,0,1,A,,9,16,3,6,11,14,2,6,2,3,0,0,1.95,3.5,3.3
06/08/22,Besiktas,Kayserispor,1,0,H,0,0,D,,20,5,6,1,22,14,9,4,5,2,1,1,1.5,4.33,5.25
07/08/22,Giresunspor,Ad. Demirspor,2,3,A,0,2,A,,14,10,5,4,21,16,6,1,3,2,0,0,2.87,3.4,2.2
07/08/22,Karagumruk,Alanyaspor,2,4,A,0,2,A,,17,10,4,6,19,19,10,3,2,3,0,0,2.55,3.5,2.4
07/08/22,Antalyaspor,Galatasaray,0,1,A,0,0,D,,12,13,4,4,17,16,1,6,2,4,0,0,2.37,3.6,2.6
08/08/22,Buyuksehyr,Kasimpasa,4,0,H,2,0,H,,15,9,7,3,14,15,6,5,2,3,0,0,1.75,3.6,4.2
08/08/22,Ankaragucu,Konyaspor,0,0,D,0,0,D,,12,10,3,0,14,6,6,3,1,0,0,0,2.9,3.4,2.15
08/08/22,Fenerbahce,Umraniyespor,3,3,D,2,1,H,,17,10,6,5,14,13,5,5,7,2,0,0,1.33,5,7.5
12/08/22,Trabzonspor,Hatayspor,1,0,H,0,0,D,,21,7,6,3,18,10,11,2,2,3,0,0,1.5,4.5,6.5
13/08/22,Kayserispor,Istanbulspor,1,0,H,1,0,H,,8,13,4,1,8,10,4,5,3,2,0,0,1.85,3.8,4
13/08/22,Ad. Demirspor,Sivasspor,3,0,H,1,0,H,,27,10,13,1,12,6,7,1,2,0,0,0,1.9,3.6,4
13/08/22,Galatasaray,Giresunspor,0,1,A,0,0,D,,14,5,2,4,7,11,10,3,3,2,0,0,1.44,4.33,8
14/08/22,Gaziantep,Ankaragucu,1,0,H,0,0,D,,20,6,9,0,12,12,9,4,2,3,0,0,1.95,3.6,3.6
14/08/22,Umraniyespor,Antalyaspor,0,1,A,0,0,D,,14,11,2,2,15,12,4,5,1,2,0,0,3.1,3.3,2.25
14/08/22,Alanyaspor,Besiktas,3,3,D,1,3,A,,11,6,3,4,22,16,12,1,3,4,0,1,2.75,3.6,2.45
15/08/22,Konyaspor,Buyuksehyr,0,0,D,0,0,D,,9,9,2,3,7,8,0,5,1,3,0,0,2.75,3.4,2.5
15/08/22,Kasimpasa,Fenerbahce,0,6,A,0,3,A,,6,24,2,9,18,10,2,8,3,1,1,0,3.2,3.8,2.1
19/08/22,Umraniyespor,Galatasaray,0,1,A,0,0,D,,15,24,3,10,18,14,3,5,6,2,0,0,4.2,3.75,1.8
20/08/22,Giresunspor,Kasimpasa,1,0,H,0,0,D,,14,11,7,4,11,13,8,6,3,2,0,0,2.25,3.5,3
20/08/22,Hatayspor,Gaziantep,1,2,A,1,1,D,,14,11,3,3,5,10,4,3,2,3,0,0,2.1,3.5,3.25
20/08/22,Antalyaspor,Trabzonspor,5,2,H,2,1,H,,13,17,6,5,10,8,3,5,1,2,0,0,2.5,3.2,2.87
21/08/22,Buyuksehyr,Kayserispor,2,0,H,1,0,H,,12,10,8,2,16,7,4,3,5,0,0,0,1.55,3.8,6.5
21/08/22,Besiktas,Karagumruk,4,1,H,2,0,H,,19,7,8,3,19,7,6,3,3,3,0,0,1.57,4.2,5
22/08/22,Istanbulspor,Konyaspor,0,4,A,0,2,A,,11,14,4,9,16,7,7,3,1,3,0,0,3.6,3.5,2
22/08/22,Sivasspor,Alanyaspor,1,1,D,1,0,H,,10,13,3,5,14,8,4,6,2,2,0,0,2.5,3.4,2.75
22/08/22,Fenerbahce,Ad. Demirspor,4,2,H,2,0,H,,11,14,7,9,15,13,2,2,3,4,0,1,1.7,4,4.5
26/08/22,Gaziantep,Antalyaspor,5,2,H,1,2,A,,13,10,8,5,13,8,3,4,3,3,0,0,2.5,3.3,2.8
27/08/22,Karagumruk,Ankaragucu,4,1,H,2,0,H,,13,10,9,4,9,13,0,7,2,3,0,0,1.9,3.6,4
27/08/22,Ad. Demirspor,Umraniyespor,1,0,H,1,0,H,,15,15,4,2,9,12,4,1,2,2,0,0,1.55,4.33,5.75
