Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
06/08/04,Nice,Lyon,0,1,A,0,0,D,,,,,,,,,,,,,,3.25,3,2.1
07/08/04,Bastia,Strasbourg,2,1,H,1,0,H,,,,,,,,,,,,,,2.1,3,3.25
07/08/04,Caen,Istres,1,1,D,1,1,D,,,,,,,,,,,,,,1.9,3.2,3.6
07/08/04,Lille,Auxerre,2,0,H,1,0,H,,,,,,,,,,,,,,2.37,3,2.75
07/08/04,Marseille,Bordeaux,1,0,H,0,0,D,,,,,,,,,,,,,,1.72,3.25,4.33
07/08/04,Metz,Nantes,1,0,H,0,0,D,,,,,,,,,,,,,,2.5,3,2.62
07/08/04,Rennes,Paris SG,2,1,H,2,1,H,,,,,,,,,,,,,,2.75,3,2.37
07/08/04,Sochaux,Ajaccio,1,0,H,1,0,H,,,,,,,,,,,,,,1.57,3.4,5.5
07/08/04,St Etienne,Monaco,0,1,A,0,1,A,,,,,,,,,,,,,,3.25,3,2.1
07/08/04,Toulouse,Lens,0,0,D,0,0,D,,,,,,,,,,,,,,2.37,3,2.75
14/08/04,Ajaccio,Metz,1,2,A,0,1,A,,,,,,,,,,,,,,2.1,3,3.25
14/08/04,Auxerre,Rennes,3,1,H,0,0,D,,,,,,,,,,,,,,1.72,3.25,4.33
14/08/04,Bordeaux,Nice,5,1,H,2,0,H,,,,,,,,,,,,,,1.83,3.1,4
14/08/04,Lens,St Etienne,3,0,H,2,0,H,,,,,,,,,,,,,,1.66,3.4,4.5
14/08/04,Lyon,Sochaux,1,1,D,0,1,A,,,,,,,,,,,,,,1.61,3.4,5
14/08/04,Monaco,Istres,2,1,H,2,0,H,,,,,,,,,,,,,,1.33,4,8.5
14/08/04,Nantes,Bastia,1,1,D,0,0,D,,,,,,,,,,,,,,1.72,3.25,4.33
14/08/04,Paris SG,Caen,2,2,D,1,1,D,,,,,,,,,,,,,,1.33,4.33,7.5
14/08/04,Strasbourg,Toulouse,1,4,A,0,3,A,,,,,,,,,,,,,,2.1,3,3.25
15/08/04,Marseille,Lille,3,0,H,1,0,H,,,,,,,,,,,,,,1.61,3.4,5
21/08/04,Bastia,Ajaccio,1,0,H,0,0,D,,,,,,,,,,,,,,1.9,3.1,3.75
21/08/04,Caen,Monaco,1,0,H,1,0,H,,,,,,,,,,,,,,3.25,3.25,2
21/08/04,Istres,Lens,0,2,A,0,1,A,,,,,,,,,,,,,,2.75,3,2.37
21/08/04,Lille,Bordeaux,0,0,D,0,0,D,,,,,,,,,,,,,,2.1,3.25,3
21/08/04,Nice,Marseille,1,1,D,0,0,D,,,,,,,,,,,,,,2.75,3,2.37
21/08/04,Rennes,Nantes,1,0,H,1,0,H,,,,,,,,,,,,,,2.1,3.25,3
21/08/04,Sochaux,Auxerre,1,2,A,1,1,D,,,,,,,,,,,,,,2,3.25,3.25
