Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
27/08/11,Giannina,Aris,0,0,D,0,0,D,,,,,,,,,,,,,,3.4,3,2.3
27/08/11,OFI,Atromitos,1,1,D,0,1,A,,,,,,,,,,,,,,2.6,3,2.88
28/08/11,Kerkyra,Panathinaikos,0,2,A,0,0,D,,,,,,,,,,,,,,6,3.6,1.62
28/08/11,Panionios,Ergotelis,2,2,D,1,0,H,,,,,,,,,,,,,,2.1,3.1,3.75
28/08/11,PAOK,Xanthi,1,0,H,1,0,H,,,,,,,,,,,,,,1.57,3.5,7
10/09/11,Ergotelis,PAOK,2,1,H,0,0,D,,,,,,,,,,,,,,3.25,3.2,2.1
10/09/11,Panetolikos,Panionios,0,1,A,0,1,A,,,,,,,,,,,,,,2.3,3,3.1
11/09/11,Aris,Atromitos,0,1,A,0,1,A,,,,,,,,,,,,,,1.8,3.3,4.2
11/09/11,Asteras Tripolis,Kerkyra,0,0,D,0,0,D,,,,,,,,,,,,,,2.2,3.1,3.2
11/09/11,Panathinaikos,Giannina,3,1,H,2,0,H,,,,,,,,,,,,,,1.25,5.25,10
14/09/11,Panetolikos,Asteras Tripolis,1,0,H,0,0,D,,,,,,,,,,,,,,2.1,3.1,3.4
17/09/11,Atromitos,Panathinaikos,1,1,D,0,0,D,,,,,,,,,,,,,,4.5,3.1,1.91
17/09/11,Kerkyra,Panetolikos,2,3,A,1,0,H,,,,,,,,,,,,,,2.4,3,3.2
18/09/11,AEK,Ergotelis,1,0,H,1,0,H,,,,,,,,,,,,,,1.62,3.75,5.5
18/09/11,Giannina,Asteras Tripolis,3,1,H,1,1,D,,,,,,,,,,,,,,2,3.1,4.2
18/09/11,Olympiakos,Xanthi,2,1,H,0,1,A,,,,,,,,,,,,,,1.17,6.5,17
18/09/11,Panionios,PAOK,1,2,A,1,1,D,,,,,,,,,,,,,,3.2,3,2.4
21/09/11,Xanthi,AEK,3,4,A,1,2,A,,,,,,,,,,,,,,2.8,3.1,2.6
24/09/11,Ergotelis,Olympiakos,2,3,A,0,2,A,,,,,,,,,,,,,,7.5,3.6,1.53
24/09/11,Kerkyra,Panionios,0,3,A,0,1,A,,,,,,,,,,,,,,2.6,3.1,2.8
25/09/11,Asteras Tripolis,Atromitos,0,0,D,0,0,D,,,,,,,,,,,,,,2.88,3,2.6
25/09/11,Panetolikos,Giannina,2,2,D,2,2,D,,,,,,,,,,,,,,2.1,3.1,3.75
25/09/11,PAOK,AEK,3,0,H,3,0,H,,,,,,,,,,,,,,1.91,3.3,4.2
25/09/11,Xanthi,OFI,3,1,H,1,0,H,,,,,,,,,,,,,,1.91,3.25,4.33
01/10/11,Atromitos,Panetolikos,2,1,H,1,0,H,,,,,,,,,,,,,,1.73,3.3,5.5
01/10/11,OFI,Ergotelis,1,0,H,1,0,H,,,,,,,,,,,,,,2.75,3.1,2.63
02/10/11,Aris,Xanthi,0,0,D,0,0,D,,,,,,,,,,,,,,1.95,3.2,4.2
02/10/11,Giannina,Kerkyra,2,1,H,1,1,D,,,,,,,,,,,,,,1.62,3.4,6.5
02/10/11,Olympiakos,PAOK,2,1,H,2,1,H,,,,,,,,,,,,,,1.73,3.3,5.5
02/10/11,Panionios,AEK,0,1,A,0,0,D,,,,,,,,,,,,,,3,3.2,2.4
15/10/11,AEK,Olympiakos,1,1,D,1,1,D,,,,,,,,,,,,,,3.5,3.25,2.1
15/10/11,Kerkyra,Atromitos,2,2,D,1,1,D,,,,,,,,,,,,,,2.9,3.1,2.5
16/10/11,Ergotelis,Aris,1,1,D,0,1,A,,,,,,,,,,,,,,2.6,3,2.88
16/10/11,Giannina,Panionios,0,0,D,0,0,D,,,,,,,,,,,,,,2.4,3.2,3
16/10/11,PAOK,OFI,0,0,D,0,0,D,,,,,,,,,,,,,,1.44,4,8
