Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
11/09/20,Aris,Lamia,3,1,H,0,1,A,,10,6,9,2,15,26,7,0,4,2,0,0,1.5,4,7
11/09/20,PAOK,Larisa,1,0,H,1,0,H,,15,5,8,1,21,14,9,3,4,4,0,0,1.2,6,15
12/09/20,OFI Crete,Panetolikos,1,1,D,0,1,A,,3,8,2,4,28,28,1,2,5,1,0,0,1.72,3.4,4.5
13/09/20,Atromitos,Volos NFC,0,2,A,0,0,D,,5,7,2,5,13,22,2,2,3,5,1,0,1.61,3.6,5
13/09/20,Asteras Tripolis,Panathinaikos,1,0,H,0,0,D,,8,8,3,5,14,18,1,3,3,4,0,0,2.7,3.1,2.5
18/09/20,PAOK,Atromitos,1,1,D,0,0,D,,10,6,5,1,26,13,7,3,0,4,0,0,1.4,4,7
18/09/20,Olympiakos,Asteras Tripolis,3,0,H,0,0,D,,14,8,11,3,15,11,4,5,0,2,0,0,1.2,6,13
19/09/20,Panetolikos,AEK,0,2,A,0,0,D,,2,8,0,5,16,22,1,7,1,6,0,0,7,3.75,1.53
20/09/20,Lamia,OFI Crete,1,2,A,0,1,A,,11,4,3,2,13,17,4,4,2,3,0,0,2.75,3.1,2.62
20/09/20,Volos NFC,Aris,0,1,A,0,1,A,,4,9,1,5,19,15,2,6,5,3,0,0,3.75,3.1,2.1
26/09/20,Volos NFC,PAOK,0,0,D,0,0,D,,5,12,3,6,18,17,2,5,4,0,0,0,11,5.75,1.25
26/09/20,Olympiakos,Panetolikos,2,0,H,0,0,D,,10,3,4,2,15,12,8,5,1,1,0,0,1.25,5.75,11
27/09/20,Aris,Giannina,2,2,D,0,2,A,,10,6,6,3,19,25,4,3,4,5,0,0,1.53,3.8,6.5
27/09/20,OFI Crete,Atromitos,2,2,D,0,1,A,,11,10,8,4,17,18,4,3,3,4,0,1,2.25,3,3.5
27/09/20,AEK,Lamia,3,0,H,1,0,H,,17,8,12,7,18,17,7,5,1,1,0,0,1.28,5.5,9
28/09/20,Larisa,Panathinaikos,1,1,D,0,1,A,,3,6,3,2,14,23,3,4,2,3,0,0,3.4,3.2,2.2
03/10/20,Panetolikos,Asteras Tripolis,1,1,D,0,1,A,,6,10,4,4,11,21,3,15,0,1,1,0,2.45,3.25,2.87
04/10/20,Panathinaikos,Aris,0,1,A,0,1,A,,8,6,2,3,19,11,8,2,2,3,0,0,1.95,3.3,4
04/10/20,Apollon,Larisa,1,0,H,0,0,D,,7,10,4,6,18,9,3,6,2,4,0,0,2.62,3.1,2.8
04/10/20,PAOK,OFI Crete,3,0,H,1,0,H,,11,8,7,5,21,13,8,4,2,4,0,0,1.25,5.5,12
