Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
28/07/23,St. Gilloise,Anderlecht,2,0,H,1,0,H,,10,5,3,2,16,13,3,3,5,3,0,0,2.1,3.3,3.2
29/07/23,Eupen,Westerlo,2,2,D,1,0,H,,13,22,6,5,14,7,1,4,1,0,0,0,3.4,3.3,2.05
29/07/23,Charleroi,Oud-Heverlee Leuven,1,1,D,1,0,H,,4,19,2,5,7,12,2,6,3,1,1,0,1.95,3.5,3.5
29/07/23,RWD Molenbeek,Genk,0,4,A,0,3,A,,10,28,4,10,11,11,2,6,1,0,0,0,3.5,3.6,1.85
30/07/23,Antwerp,Cercle Brugge,1,0,H,1,0,H,,15,8,4,1,15,13,7,7,0,2,0,0,1.75,3.5,4.2
30/07/23,Gent,Kortrijk,3,2,H,2,1,H,,17,10,4,3,5,9,7,5,1,4,0,0,1.33,4.75,8
30/07/23,Club Brugge,Mechelen,1,1,D,0,1,A,,21,9,5,2,8,9,4,3,2,2,1,0,1.45,4.5,5.25
30/07/23,St Truiden,Standard,1,0,H,0,0,D,,11,7,3,3,13,11,3,2,1,1,0,0,2.63,3.2,2.63
04/08/23,Standard,St. Gilloise,0,1,A,0,1,A,,8,24,3,8,9,12,2,13,4,1,1,0,3.75,3.6,1.91
05/08/23,Genk,Eupen,0,1,A,0,1,A,,28,5,3,2,11,11,7,2,1,2,0,0,1.33,5.25,8.5
05/08/23,Cercle Brugge,Charleroi,2,0,H,2,0,H,,19,8,3,3,11,13,4,5,0,3,0,0,1.85,3.8,4
05/08/23,Oud-Heverlee Leuven,RWD Molenbeek,1,2,A,1,1,D,,18,15,5,4,14,18,15,6,4,1,0,0,1.75,4,4.2
06/08/23,Anderlecht,Antwerp,1,0,H,1,0,H,,9,5,2,3,9,19,3,6,1,1,0,0,2.55,3.4,2.63
06/08/23,Mechelen,Gent,0,1,A,0,0,D,,14,12,2,3,14,14,7,3,2,3,0,0,3.8,4,1.8
06/08/23,Westerlo,Club Brugge,0,1,A,0,1,A,,11,20,3,8,7,9,4,5,1,0,0,0,3.6,3.75,1.95
06/08/23,Kortrijk,St Truiden,0,1,A,0,0,D,,8,14,1,4,10,12,0,14,1,2,0,0,2.8,3.4,2.45
11/08/23,Antwerp,Kortrijk,6,0,H,4,0,H,,25,4,9,1,8,11,4,1,0,2,0,0,1.25,5.25,9.5
12/08/23,RWD Molenbeek,Mechelen,1,0,H,0,0,D,,18,9,8,4,12,11,7,4,3,1,0,0,2.15,3.5,2.9
12/08/23,St. Gilloise,Oud-Heverlee Leuven,5,1,H,2,1,H,,16,4,9,1,10,15,0,3,1,4,0,0,1.5,4,5.75
13/08/23,St Truiden,Anderlecht,0,1,A,0,0,D,,14,9,5,3,13,15,6,1,4,5,0,1,3.2,3.4,2.05
13/08/23,Cercle Brugge,Genk,0,1,A,0,0,D,,13,10,2,3,8,20,5,3,2,3,0,0,2.75,3.5,2.25
13/08/23,Eupen,Club Brugge,0,5,A,0,3,A,,9,13,1,7,9,13,4,6,0,2,0,0,5.25,4,1.5
13/08/23,Charleroi,Standard,1,1,D,0,1,A,,18,7,3,2,11,12,13,2,3,2,1,1,1.95,3.5,3.4
13/08/23,Westerlo,Gent,1,3,A,1,1,D,,14,18,4,9,10,14,4,10,1,1,0,0,3.3,3.4,2
18/08/23,Oud-Heverlee Leuven,Antwerp,1,1,D,0,1,A,,10,13,2,4,16,10,7,7,4,2,1,0,5.25,4,1.62
19/08/23,Standard,Cercle Brugge,0,1,A,0,0,D,,7,16,3,4,10,11,3,2,2,2,0,0,2.9,3.4,2.38
19/08/23,Mechelen,St. Gilloise,4,0,H,1,0,H,,10,14,7,1,9,10,4,6,0,2,0,0,4.33,3.75,1.75
20/08/23,Anderlecht,Westerlo,2,1,H,1,0,H,,24,18,7,3,7,13,6,2,1,3,0,0,1.83,3.75,4
20/08/23,Genk,Charleroi,0,0,D,0,0,D,,23,7,7,3,11,13,11,4,0,0,0,0,1.53,4.2,5.5
20/08/23,Gent,St Truiden,2,2,D,1,2,A,,19,14,5,3,11,9,7,2,2,2,0,0,1.4,4.75,7.5
20/08/23,Club Brugge,RWD Molenbeek,7,1,H,2,1,H,,23,9,9,3,10,12,8,3,0,1,0,0,1.29,5.75,9.5
20/08/23,Kortrijk,Eupen,1,3,A,0,0,D,,13,15,4,8,15,15,5,9,5,4,1,0,2.25,3.5,3
26/08/23,Westerlo,Mechelen,2,3,A,2,0,H,,11,17,4,5,8,9,5,4,0,3,0,0,2.2,3.5,3.1
26/08/23,Eupen,Oud-Heverlee Leuven,3,1,H,1,0,H,,17,22,4,5,15,9,3,5,1,2,0,0,3,3.6,2.2
26/08/23,Kortrijk,Standard,1,1,D,1,0,H,,19,23,6,6,7,12,7,10,0,2,0,0,3,3.4,2.3
27/08/23,St Truiden,Cercle Brugge,0,2,A,0,0,D,,20,25,4,8,8,18,8,8,1,1,0,0,3.25,3.3,2.2
27/08/23,Anderlecht,Charleroi,2,1,H,1,0,H,,15,18,8,5,12,16,4,7,0,2,0,0,1.75,3.75,4.5
01/09/23,Oud-Heverlee Leuven,Kortrijk,3,0,H,1,0,H,,20,13,9,7,10,14,4,1,1,3,0,0,1.6,4.5,4.5
02/09/23,Cercle Brugge,Westerlo,2,1,H,1,0,H,,21,7,6,1,16,16,14,1,0,1,0,0,1.55,4.2,5.5
02/09/23,Mechelen,Eupen,1,0,H,0,0,D,,22,9,6,1,10,13,6,4,0,1,0,0,1.8,3.8,4
02/09/23,Standard,RWD Molenbeek,1,1,D,1,1,D,,11,8,4,3,9,22,5,0,1,3,0,0,1.95,3.6,3.6
03/09/23,Gent,Club Brugge,2,1,H,1,1,D,,14,14,4,7,14,12,5,6,2,0,1,0,2.4,3.5,2.75
03/09/23,St. Gilloise,Antwerp,2,2,D,1,2,A,,24,8,7,5,9,12,8,4,1,2,0,0,2.3,3.4,3
03/09/23,Genk,Anderlecht,1,1,D,0,0,D,,12,8,4,4,6,15,7,7,5,6,1,0,1.91,3.6,3.8
03/09/23,Charleroi,St Truiden,1,1,D,0,0,D,,18,8,5,5,12,6,3,5,2,0,0,1,2.25,3.3,3.2
15/09/23,Westerlo,Antwerp,0,3,A,0,1,A,,9,15,2,4,13,9,4,5,3,0,0,0,5.5,4,1.57
16/09/23,RWD Molenbeek,Cercle Brugge,2,1,H,1,1,D,,10,15,5,4,18,12,5,4,3,3,0,0,4.2,3.75,1.8
16/09/23,St. Gilloise,Genk,0,2,A,0,1,A,,25,7,4,2,15,15,7,3,1,6,0,0,1.91,3.6,3.75
16/09/23,Club Brugge,Charleroi,4,2,H,2,2,D,,25,14,10,8,8,6,5,5,2,3,0,0,1.4,4.75,6.5
17/09/23,Eupen,Standard,1,3,A,0,2,A,,13,16,3,6,5,12,6,6,1,4,0,1,3,3.4,2.3
17/09/23,Kortrijk,Anderlecht,2,2,D,1,1,D,,9,18,4,6,13,6,3,11,5,1,1,1,4.5,4,1.7
17/09/23,Oud-Heverlee Leuven,Gent,1,1,D,1,1,D,,9,22,2,4,7,11,3,16,4,3,0,0,4.33,3.75,1.75
17/09/23,St Truiden,Mechelen,2,0,H,1,0,H,,16,13,4,7,8,12,1,7,1,2,0,0,2.4,3.4,2.88
22/09/23,Standard,Westerlo,0,0,D,0,0,D,,14,3,5,2,6,23,5,2,0,3,0,0,1.8,4,3.8
23/09/23,Charleroi,Kortrijk,1,0,H,1,0,H,,14,13,5,3,16,13,8,7,2,1,0,0,1.62,4.33,4.75
23/09/23,Mechelen,Oud-Heverlee Leuven,1,2,A,0,2,A,,16,15,4,8,12,7,6,6,5,3,0,0,1.91,3.75,3.6
23/09/23,Antwerp,RWD Molenbeek,0,0,D,0,0,D,,14,5,3,1,4,14,9,1,0,1,0,0,1.3,5,9
24/09/23,Genk,St Truiden,3,3,D,0,3,A,,20,16,7,6,17,11,5,1,2,4,0,0,1.55,4.33,5.25
24/09/23,Cercle Brugge,St. Gilloise,0,2,A,0,1,A,,6,15,1,7,8,17,3,2,3,3,1,0,2.63,3.6,2.45
24/09/23,Anderlecht,Club Brugge,1,1,D,1,0,H,,8,9,1,3,12,11,3,3,1,1,0,0,3.1,3.6,2.15
24/09/23,Gent,Eupen,2,1,H,0,1,A,,13,14,6,3,9,16,3,7,1,4,1,0,1.29,5.5,11
27/09/23,Antwerp,Gent,0,0,D,0,0,D,,14,6,4,2,10,4,6,0,3,1,0,0,2.1,3.6,3.2
28/09/23,RWD Molenbeek,St. Gilloise,2,3,A,2,2,D,,10,16,7,8,8,14,3,8,2,3,0,0,4.75,3.8,1.7
28/09/23,Club Brugge,Genk,1,1,D,0,1,A,,18,15,3,5,16,7,10,3,4,1,0,0,1.85,3.6,4.2
29/09/23,Kortrijk,Cercle Brugge,2,1,H,0,0,D,,10,10,4,2,13,19,3,7,3,1,0,0,5,4,1.62
30/09/23,Eupen,Anderlecht,1,3,A,1,1,D,,9,20,3,6,11,15,2,4,1,0,0,0,4.2,4,1.73
30/09/23,Oud-Heverlee Leuven,Standard,1,2,A,0,1,A,,11,14,5,3,10,11,6,3,2,1,0,0,2.3,3.6,2.88
30/09/23,Mechelen,Antwerp,0,0,D,0,0,D,,14,22,3,4,3,5,5,13,0,1,0,0,3.6,4,1.85
01/10/23,St. Gilloise,Charleroi,3,1,H,3,1,H,,17,4,7,3,13,13,8,7,1,2,0,0,1.55,4.2,5.5
01/10/23,Genk,Westerlo,3,3,D,2,1,H,,18,10,6,7,7,12,4,7,2,2,1,0,1.44,4.5,7
01/10/23,Club Brugge,St Truiden,1,1,D,0,0,D,,20,12,7,3,12,8,11,4,3,1,0,0,1.36,4.75,8.5
01/10/23,RWD Molenbeek,Gent,1,1,D,1,1,D,,9,19,3,9,9,10,4,4,3,1,0,0,4.5,4,1.7
06/10/23,Charleroi,RWD Molenbeek,2,1,H,0,0,D,,22,6,7,3,9,7,14,2,1,3,0,1,1.91,3.75,3.75
07/10/23,Cercle Brugge,Oud-Heverlee Leuven,3,2,H,2,2,D,,18,13,7,5,9,9,6,6,2,3,0,0,1.57,4.33,5
07/10/23,Westerlo,Kortrijk,1,0,H,1,0,H,,13,13,4,3,15,10,1,10,2,4,0,0,1.8,4,3.8
07/10/23,Anderlecht,Mechelen,3,1,H,1,0,H,,19,13,9,3,14,10,8,1,2,3,0,0,1.73,4,4.2
08/10/23,Standard,Club Brugge,2,1,H,1,0,H,,7,16,5,7,13,14,1,6,4,1,0,0,4.75,4,1.65
08/10/23,Antwerp,Eupen,4,1,H,2,1,H,,27,5,12,2,8,10,8,2,0,2,0,0,1.25,6.5,9.5
08/10/23,Gent,Genk,1,1,D,0,0,D,,18,20,9,6,9,14,4,9,1,3,0,0,1.95,3.75,3.5
08/10/23,St Truiden,St. Gilloise,0,4,A,0,2,A,,9,12,1,7,3,15,3,5,1,4,0,0,4,3.75,1.83
20/10/23,St. Gilloise,Eupen,4,1,H,2,0,H,,21,6,11,1,14,14,3,1,0,3,0,1,1.18,6.5,13
21/10/23,Kortrijk,Club Brugge,1,0,H,1,0,H,,6,18,2,4,14,9,1,9,4,2,0,0,7,5,1.4
21/10/23,RWD Molenbeek,Westerlo,1,1,D,0,0,D,,12,9,6,5,10,8,7,4,2,2,0,0,2.25,3.5,2.9
21/10/23,Charleroi,Antwerp,3,2,H,0,0,D,,10,11,5,5,6,12,5,2,2,2,0,0,3.2,3.4,2.15
22/10/23,Genk,Mechelen,4,0,H,2,0,H,,19,10,9,3,6,10,4,3,1,2,0,0,1.53,4.2,5.75
22/10/23,Cercle Brugge,Gent,2,0,H,0,0,D,,16,10,5,4,17,15,6,7,3,2,0,1,2.6,3.5,2.5
22/10/23,Standard,Anderlecht,3,2,H,0,2,A,,15,13,8,7,12,14,3,8,2,3,0,0,3,3.4,2.25
22/10/23,Oud-Heverlee Leuven,St Truiden,4,0,H,2,0,H,,11,18,4,3,9,12,3,7,1,3,0,0,2.3,3.5,2.88
27/10/23,St Truiden,RWD Molenbeek,2,1,H,0,0,D,,9,10,5,3,9,7,4,0,0,0,0,0,1.85,3.6,4
28/10/23,Mechelen,Cercle Brugge,0,2,A,0,0,D,,11,22,7,4,13,15,8,3,1,3,0,0,3.3,3.6,2.1
28/10/23,Eupen,Charleroi,2,0,H,1,0,H,,8,17,5,5,11,13,4,8,3,2,0,0,3.3,3.75,2
28/10/23,Anderlecht,Oud-Heverlee Leuven,5,1,H,2,1,H,,18,13,9,7,13,13,5,1,1,1,0,0,1.53,4.33,5.5
29/10/23,Club Brugge,Antwerp,2,1,H,1,0,H,,11,8,5,2,11,9,3,3,4,1,0,0,1.91,3.6,3.8
29/10/23,Westerlo,St. Gilloise,1,3,A,1,1,D,,12,22,4,7,11,10,5,8,1,1,0,0,5,4,1.62
29/10/23,Gent,Standard,3,1,H,3,0,H,,18,12,9,7,16,15,4,4,2,2,0,0,1.62,4.33,4.5
29/10/23,Kortrijk,Genk,0,3,A,0,0,D,,12,15,3,9,10,16,8,5,3,2,0,0,6,4.33,1.5
03/11/23,St Truiden,Eupen,1,1,D,1,0,H,,16,5,4,1,10,13,5,1,1,1,0,0,1.62,4.2,5
04/11/23,RWD Molenbeek,Kortrijk,1,1,D,1,1,D,,9,5,5,2,14,7,4,2,3,1,0,0,1.91,3.8,3.6
04/11/23,Oud-Heverlee Leuven,Westerlo,0,2,A,0,0,D,,10,10,2,6,11,13,7,7,3,7,0,0,2.1,3.6,3.25
04/11/23,Antwerp,Genk,3,2,H,3,1,H,,14,17,5,8,13,12,5,5,3,4,0,0,2.15,3.5,3.2
05/11/23,Cercle Brugge,Anderlecht,0,3,A,0,2,A,,16,7,2,5,14,13,7,1,2,3,0,0,2.4,3.5,2.75
05/11/23,Standard,Mechelen,1,1,D,1,0,H,,10,11,4,4,10,19,10,1,1,4,0,0,1.7,3.8,4.5
05/11/23,St. Gilloise,Club Brugge,2,1,H,1,0,H,,19,5,6,2,11,6,9,4,3,4,0,0,2.25,3.6,3
05/11/23,Charleroi,Gent,1,3,A,0,1,A,,11,17,3,9,5,4,0,6,3,0,0,0,3.4,3.5,2.05
10/11/23,Westerlo,St Truiden,3,3,D,2,1,H,,17,10,4,7,11,13,9,3,3,2,0,0,2.6,3.4,2.6
11/11/23,Antwerp,Standard,6,0,H,4,0,H,,15,2,9,0,13,10,6,2,2,2,0,0,1.6,4,5
11/11/23,Eupen,RWD Molenbeek,1,3,A,1,1,D,,11,20,4,10,12,14,8,5,1,4,0,0,2.63,3.4,2.55
11/11/23,Mechelen,Charleroi,1,0,H,0,0,D,,19,6,7,3,11,10,8,2,2,1,0,1,2.63,3.4,2.6
12/11/23,Club Brugge,Cercle Brugge,0,0,D,0,0,D,,14,20,7,3,11,12,10,3,2,5,0,0,1.73,4,4.33
12/11/23,Genk,Oud-Heverlee Leuven,3,1,H,1,0,H,,18,6,6,3,14,19,3,2,2,4,0,0,1.4,4.75,7
12/11/23,Gent,Anderlecht,1,1,D,1,1,D,,10,7,5,2,12,10,8,3,1,2,0,0,2.15,3.6,3.2
12/11/23,St. Gilloise,Kortrijk,3,0,H,2,0,H,,18,11,8,1,10,9,6,6,2,1,0,0,1.2,7,11
24/11/23,St Truiden,Antwerp,1,1,D,1,0,H,,11,12,5,1,8,11,4,7,2,2,0,0,4,3.5,1.85
25/11/23,Cercle Brugge,Eupen,2,0,H,0,0,D,,30,6,10,4,12,13,5,3,4,3,0,0,1.36,5,7
25/11/23,Charleroi,Westerlo,3,2,H,0,1,A,,14,11,4,4,15,11,5,4,3,2,0,0,1.8,3.75,4
25/11/23,Standard,Genk,1,0,H,0,0,D,,13,11,4,2,20,12,5,5,2,2,0,0,3.6,3.75,1.91
26/11/23,Gent,St. Gilloise,1,1,D,1,0,H,,11,12,3,4,8,14,5,8,2,3,0,0,2.55,3.4,2.63
26/11/23,Oud-Heverlee Leuven,Club Brugge,0,1,A,0,1,A,,10,14,3,6,19,13,7,6,4,2,0,0,4.5,4,1.67
26/11/23,Anderlecht,RWD Molenbeek,2,1,H,0,1,A,,25,7,8,2,6,12,10,1,1,4,0,1,1.4,5,7
26/11/23,Kortrijk,Mechelen,0,3,A,0,2,A,,15,10,3,5,12,12,4,3,2,2,0,0,2.9,3.5,2.3
01/12/23,Westerlo,Anderlecht,1,3,A,0,1,A,,23,26,7,10,3,11,7,2,0,0,0,0,4.75,4,1.7
02/12/23,RWD Molenbeek,Charleroi,0,0,D,0,0,D,,10,18,4,8,4,8,3,10,0,2,0,0,2.75,3.4,2.5
02/12/23,Eupen,Kortrijk,1,1,D,0,0,D,,14,14,3,3,14,10,7,11,1,1,0,0,2.25,3.3,3.2
02/12/23,Antwerp,Oud-Heverlee Leuven,1,0,H,1,0,H,,18,10,5,4,6,9,7,6,0,3,0,0,1.36,5,8.5
03/12/23,Genk,Gent,2,2,D,1,1,D,,13,17,6,6,15,12,1,9,2,2,0,0,2.15,3.5,3.2
03/12/23,Mechelen,St Truiden,0,2,A,0,2,A,,6,13,5,5,10,8,1,5,1,2,0,0,2.15,3.3,3.4
03/12/23,Club Brugge,Standard,2,0,H,1,0,H,,13,7,5,2,13,10,4,3,2,2,0,0,1.44,4.75,6.5
03/12/23,St. Gilloise,Cercle Brugge,2,1,H,2,1,H,,12,13,6,6,13,15,5,4,1,3,0,0,1.62,4,5
08/12/23,Kortrijk,Westerlo,1,2,A,0,1,A,,16,8,6,3,8,13,5,1,1,3,0,0,2.8,3.25,2.5
09/12/23,Cercle Brugge,Antwerp,1,3,A,0,1,A,,15,14,2,8,13,6,6,2,4,1,0,0,2.7,3.4,2.5
09/12/23,St Truiden,Oud-Heverlee Leuven,1,1,D,1,1,D,,26,4,13,3,5,10,15,2,0,2,0,1,1.85,3.75,4
09/12/23,Gent,RWD Molenbeek,4,0,H,2,0,H,,22,3,10,1,11,14,9,1,0,5,0,0,1.33,5.5,7
10/12/23,Mechelen,Club Brugge,0,0,D,0,0,D,,9,13,4,2,11,9,2,9,3,5,0,0,4.75,4.33,1.62
10/12/23,Eupen,Genk,1,3,A,0,1,A,,11,18,4,10,12,8,8,8,0,2,0,0,6.5,5.25,1.4
