Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
11/08/23,Volendam,Vitesse,1,2,A,1,0,H,,4,13,4,9,12,10,3,7,3,1,1,0,3.4,3.75,2
12/08/23,PSV Eindhoven,Utrecht,2,0,H,1,0,H,,23,7,8,1,15,14,4,2,2,1,0,0,1.36,5,8.5
12/08/23,Heerenveen,Waalwijk,3,1,H,3,0,H,,19,13,9,5,9,8,7,2,0,1,0,0,1.73,4,4.5
12/08/23,Ajax,Heracles,4,1,H,1,1,D,,31,7,13,2,11,14,13,4,2,5,0,0,1.2,7,13
12/08/23,Zwolle,Sparta Rotterdam,1,2,A,0,1,A,,20,9,7,4,8,15,7,1,2,4,0,0,2.6,3.4,2.7
13/08/23,Nijmegen,Excelsior,3,4,A,2,1,H,,8,6,6,6,4,10,2,7,1,2,0,0,1.5,4.33,6.5
13/08/23,AZ Alkmaar,Go Ahead Eagles,5,1,H,2,0,H,,13,9,8,4,8,13,5,4,2,3,0,0,1.36,4.75,9
13/08/23,Feyenoord,For Sittard,0,0,D,0,0,D,,22,14,6,5,4,21,8,3,0,6,1,0,1.17,7.5,17
13/08/23,Almere City,Twente,1,4,A,0,0,D,,12,20,4,8,15,10,2,11,4,0,1,0,5.75,4.2,1.55
18/08/23,Heracles,Nijmegen,2,1,H,0,1,A,,16,17,7,4,10,10,5,9,2,2,0,0,2.45,3.6,2.75
19/08/23,Excelsior,Ajax,2,2,D,1,1,D,,13,15,2,8,7,7,4,10,0,0,0,0,10,6.5,1.25
19/08/23,Vitesse,PSV Eindhoven,1,3,A,1,0,H,,12,19,2,7,7,2,4,7,0,1,0,0,6.5,4.2,1.5
19/08/23,For Sittard,Almere City,2,1,H,2,1,H,,21,8,7,5,8,13,5,6,3,2,0,0,1.91,3.6,4
19/08/23,Go Ahead Eagles,Volendam,4,1,H,3,0,H,,8,19,6,5,3,8,4,12,1,3,1,0,1.67,4,5
20/08/23,Utrecht,Heerenveen,0,2,A,0,0,D,,12,12,6,6,11,10,9,2,0,1,0,0,1.8,3.75,4.33
20/08/23,Sparta Rotterdam,Feyenoord,2,2,D,1,0,H,,10,24,5,8,9,5,3,12,2,0,0,0,5.5,4.33,1.57
20/08/23,Twente,Zwolle,3,1,H,1,1,D,,18,9,3,4,6,15,8,3,2,5,0,0,1.36,5,8.5
20/08/23,Waalwijk,AZ Alkmaar,1,3,A,1,0,H,,7,15,5,7,9,12,1,10,2,1,0,0,5.75,4,1.57
26/08/23,Nijmegen,Waalwijk,3,0,H,1,0,H,,13,10,10,1,10,9,2,4,1,2,0,0,1.75,3.8,4.33
26/08/23,Excelsior,For Sittard,2,2,D,1,0,H,,9,13,6,5,5,9,0,6,1,1,0,0,2.4,3.75,2.7
27/08/23,Zwolle,Utrecht,1,0,H,0,0,D,,9,10,2,1,13,8,2,8,2,3,0,0,2.8,3.75,2.38
