Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
05/08/16,Nijmegen,Zwolle,1,1,D,0,1,A,,,,,,,,,,,,,,2.75,3.3,2.5
06/08/16,Den Haag,Go Ahead Eagles,3,0,H,1,0,H,,,,,,,,,,,,,,1.7,3.5,5.25
06/08/16,Twente,Excelsior,1,2,A,0,1,A,,,,,,,,,,,,,,1.67,3.75,5
06/08/16,Utrecht,PSV Eindhoven,1,2,A,1,0,H,,,,,,,,,,,,,,3.6,3.75,1.91
06/08/16,Willem II,Vitesse,1,4,A,0,4,A,,,,,,,,,,,,,,3.2,3.4,2.2
07/08/16,AZ Alkmaar,Heerenveen,2,2,D,1,1,D,,,,,,,,,,,,,,1.7,3.6,5
07/08/16,Groningen,Feyenoord,0,5,A,0,3,A,,,,,,,,,,,,,,3.75,3.5,1.95
07/08/16,Roda,Heracles,1,1,D,0,1,A,,,,,,,,,,,,,,2.3,3.4,3
07/08/16,Sparta Rotterdam,Ajax,1,3,A,1,1,D,,,,,,,,,,,,,,5.5,4,1.57
12/08/16,Heerenveen,Utrecht,2,2,D,1,2,A,,,,,,,,,,,,,,2.63,3.6,2.45
13/08/16,Ajax,Roda,2,2,D,2,1,H,,,,,,,,,,,,,,1.22,7,10
13/08/16,Excelsior,Groningen,2,0,H,1,0,H,,,,,,,,,,,,,,2.5,3.4,2.7
13/08/16,Vitesse,Den Haag,1,2,A,1,1,D,,,,,,,,,,,,,,1.7,3.75,4.75
13/08/16,Zwolle,Sparta Rotterdam,0,3,A,0,1,A,,,,,,,,,,,,,,1.7,3.6,5
14/08/16,Feyenoord,Twente,2,0,H,1,0,H,,,,,,,,,,,,,,1.22,6.5,11
14/08/16,Go Ahead Eagles,Nijmegen,2,2,D,0,1,A,,,,,,,,,,,,,,2.2,3.4,3.2
14/08/16,Heracles,Willem II,3,1,H,1,0,H,,,,,,,,,,,,,,1.8,3.6,4.33
14/08/16,PSV Eindhoven,AZ Alkmaar,1,0,H,0,0,D,,,,,,,,,,,,,,1.4,4.75,7
19/08/16,Excelsior,Den Haag,1,2,A,1,1,D,,,,,,,,,,,,,,3.25,3.4,2.15
20/08/16,Ajax,Willem II,1,2,A,1,2,A,,,,,,,,,,,,,,1.25,5.5,12
20/08/16,Nijmegen,Heerenveen,2,1,H,1,1,D,,,,,,,,,,,,,,2.63,3.4,2.55
20/08/16,Roda,Vitesse,0,1,A,0,1,A,,,,,,,,,,,,,,3.2,3.5,2.15
20/08/16,Zwolle,PSV Eindhoven,0,4,A,0,2,A,,,,,,,,,,,,,,6,4.33,1.5
21/08/16,Groningen,Twente,3,4,A,0,3,A,,,,,,,,,,,,,,2,3.5,3.6
21/08/16,Heracles,Feyenoord,0,1,A,0,1,A,,,,,,,,,,,,,,4.33,4,1.73
21/08/16,Sparta Rotterdam,Go Ahead Eagles,1,0,H,0,0,D,,,,,,,,,,,,,,1.73,3.75,4.5
21/08/16,Utrecht,AZ Alkmaar,1,2,A,0,1,A,,,,,,,,,,,,,,2.3,3.5,2.9
26/08/16,Vitesse,Utrecht,1,1,D,1,0,H,,,,,,,,,,,,,,1.91,3.6,3.75
27/08/16,Feyenoord,Excelsior,4,1,H,1,1,D,,,,,,,,,,,,,,1.18,6.5,15
27/08/16,Heerenveen,Zwolle,1,0,H,0,0,D,,,,,,,,,,,,,,2,3.5,3.6
27/08/16,Twente,Sparta Rotterdam,3,1,H,2,0,H,,,,,,,,,,,,,,1.91,3.75,3.6
27/08/16,Willem II,Roda,0,0,D,0,0,D,,,,,,,,,,,,,,1.95,3.6,3.6
28/08/16,AZ Alkmaar,Nijmegen,2,0,H,1,0,H,,,,,,,,,,,,,,1.33,5.25,8
28/08/16,Den Haag,Heracles,1,1,D,1,1,D,,,,,,,,,,,,,,1.95,3.5,3.75
28/08/16,Go Ahead Eagles,Ajax,0,3,A,0,2,A,,,,,,,,,,,,,,8,4.75,1.36
