Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
10/08/01,Boavista,Beira Mar,3,0,H,1,0,H,,,,,,,,,,,,,,,,
11/08/01,Sp Braga,Leiria,0,0,D,0,0,D,,,,,,,,,,,,,,,,
11/08/01,Varzim,Benfica,2,2,D,0,1,A,,,,,,,,,,,,,,,,
12/08/01,Pacos Ferreira,Belenenses,3,1,H,1,0,H,,,,,,,,,,,,,,,,
12/08/01,Salgueiros,Farense,0,2,A,0,1,A,,,,,,,,,,,,,,,,
12/08/01,Sp Lisbon,Porto,1,0,H,0,0,D,,,,,,,,,,,,,,,,
12/08/01,Guimaraes,Gil Vicente,0,2,A,0,1,A,,,,,,,,,,,,,,,,
13/08/01,Maritimo,Setubal,3,1,H,2,0,H,,,,,,,,,,,,,,,,
18/08/01,Belenenses,Sp Lisbon,3,0,H,2,0,H,,,,,,,,,,,,,,,,
18/08/01,Gil Vicente,Sp Braga,2,1,H,2,1,H,,,,,,,,,,,,,,,,
19/08/01,Alverca,Pacos Ferreira,1,0,H,1,0,H,,,,,,,,,,,,,,,,
19/08/01,Beira Mar,Maritimo,2,0,H,2,0,H,,,,,,,,,,,,,,,,
19/08/01,Porto,Boavista,4,1,H,1,0,H,,,,,,,,,,,,,,,,
19/08/01,Benfica,Salgueiros,2,0,H,0,0,D,,,,,,,,,,,,,,,,
19/08/01,Leiria,Santa Clara,2,2,D,2,1,H,,,,,,,,,,,,,,,,
19/08/01,Setubal,Varzim,2,0,H,0,0,D,,,,,,,,,,,,,,,,
20/08/01,Farense,Guimaraes,0,1,A,0,1,A,,,,,,,,,,,,,,,,
25/08/01,Benfica,Setubal,3,2,H,2,1,H,,,,,,,,,,,,,,,,
25/08/01,Santa Clara,Gil Vicente,0,0,D,0,0,D,,,,,,,,,,,,,,,,
25/08/01,Sp Lisbon,Alverca,0,1,A,0,0,D,,,,,,,,,,,,,,,,
26/08/01,Boavista,Belenenses,2,0,H,0,0,D,,,,,,,,,,,,,,,,
26/08/01,Pacos Ferreira,Leiria,1,2,A,0,1,A,,,,,,,,,,,,,,,,
26/08/01,Sp Braga,Farense,4,0,H,2,0,H,,,,,,,,,,,,,,,,
26/08/01,Varzim,Beira Mar,1,1,D,1,1,D,,,,,,,,,,,,,,,,
27/08/01,Maritimo,Porto,1,3,A,1,2,A,,,,,,,,,,,,,,,,
27/08/01,Salgueiros,Guimaraes,1,3,A,0,1,A,,,,,,,,,,,,,,,,
02/09/01,Santa Clara,Alverca,2,1,H,0,1,A,,,,,,,,,,,,,,,,
07/09/01,Alverca,Boavista,1,2,A,0,1,A,,,,,,,,,,,,,,,,
08/09/01,Belenenses,Maritimo,0,1,A,0,0,D,,,,,,,,,,,,,,,,
08/09/01,Leiria,Sp Lisbon,1,1,D,0,0,D,,,,,,,,,,,,,,,,
09/09/01,Beira Mar,Benfica,3,3,D,1,2,A,,,,,,,,,,,,,,,,
09/09/01,Porto,Varzim,3,0,H,0,0,D,,,,,,,,,,,,,,,,
09/09/01,Gil Vicente,Pacos Ferreira,1,1,D,1,0,H,,,,,,,,,,,,,,,,
09/09/01,Farense,Santa Clara,1,0,H,0,0,D,,,,,,,,,,,,,,,,
09/09/01,Setubal,Salgueiros,3,0,H,1,0,H,,,,,,,,,,,,,,,,
10/09/01,Guimaraes,Sp Braga,2,1,H,1,1,D,,,,,,,,,,,,,,,,
14/09/01,Varzim,Belenenses,1,5,A,0,3,A,,,,,,,,,,,,,,,,
15/09/01,Boavista,Leiria,1,0,H,0,0,D,,,,,,,,,,,,,,,,
