Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
15/08/14,Porto,Maritimo,2,0,H,1,0,H,,,,,,,,,,,,,,1.17,6.5,17
16/08/14,Academica,Sp Lisbon,1,1,D,0,1,A,,,,,,,,,,,,,,4.75,3.6,1.73
16/08/14,Gil Vicente,Guimaraes,1,3,A,0,1,A,,,,,,,,,,,,,,2.75,3.2,2.6
17/08/14,Benfica,Pacos Ferreira,2,0,H,1,0,H,,,,,,,,,,,,,,1.25,5.5,12
17/08/14,Nacional,Moreirense,0,1,A,0,0,D,,,,,,,,,,,,,,2,3.5,3.6
17/08/14,Penafiel,Belenenses,1,3,A,1,1,D,,,,,,,,,,,,,,2.2,3.2,3.4
17/08/14,Rio Ave,Setubal,2,0,H,0,0,D,,,,,,,,,,,,,,2,3.3,3.75
17/08/14,Sp Braga,Boavista,3,0,H,1,0,H,,,,,,,,,,,,,,1.33,5,9
18/08/14,Arouca,Estoril,1,1,D,1,1,D,,,,,,,,,,,,,,3.4,3.2,2.2
22/08/14,Guimaraes,Penafiel,3,0,H,1,0,H,,,,,,,,,,,,,,1.65,3.6,5.5
23/08/14,Maritimo,Academica,2,1,H,0,0,D,,,,,,,,,,,,,,2.25,3.1,3.4
23/08/14,Pacos Ferreira,Porto,0,1,A,0,1,A,,,,,,,,,,,,,,8.5,4.33,1.4
23/08/14,Sp Lisbon,Arouca,1,0,H,0,0,D,,,,,,,,,,,,,,1.33,4.75,9.5
24/08/14,Belenenses,Nacional,3,1,H,2,0,H,,,,,,,,,,,,,,2.6,3.2,2.7
24/08/14,Boavista,Benfica,0,1,A,0,1,A,,,,,,,,,,,,,,15,6,1.2
24/08/14,Estoril,Rio Ave,1,5,A,0,2,A,,,,,,,,,,,,,,1.91,3.4,4
24/08/14,Setubal,Gil Vicente,2,0,H,1,0,H,,,,,,,,,,,,,,2.2,3.2,3.4
25/08/14,Moreirense,Sp Braga,0,0,D,0,0,D,,,,,,,,,,,,,,4.75,3.4,1.8
29/08/14,Academica,Setubal,1,1,D,1,1,D,,,,,,,,,,,,,,2.3,3.1,3.25
30/08/14,Belenenses,Guimaraes,0,3,A,0,2,A,,,,,,,,,,,,,,2.55,3.1,2.88
30/08/14,Sp Braga,Estoril,2,1,H,1,0,H,,,,,,,,,,,,,,1.85,3.4,4.33
31/08/14,Benfica,Sp Lisbon,1,1,D,1,1,D,,,,,,,,,,,,,,1.8,3.5,4.5
31/08/14,Gil Vicente,Maritimo,1,2,A,1,0,H,,,,,,,,,,,,,,2.7,3.2,2.6
31/08/14,Nacional,Arouca,2,0,H,1,0,H,,,,,,,,,,,,,,1.8,3.5,4.5
31/08/14,Penafiel,Pacos Ferreira,0,1,A,0,0,D,,,,,,,,,,,,,,2.8,3.3,2.45
31/08/14,Porto,Moreirense,3,0,H,0,0,D,,,,,,,,,,,,,,1.14,7.5,19
01/09/14,Rio Ave,Boavista,4,0,H,2,0,H,,,,,,,,,,,,,,1.53,3.75,7
12/09/14,Setubal,Benfica,0,5,A,0,3,A,,,,,,,,,,,,,,7,4,1.5
13/09/14,Arouca,Sp Braga,1,0,H,1,0,H,,,,,,,,,,,,,,3.8,3.3,2
13/09/14,Moreirense,Rio Ave,1,1,D,0,1,A,,,,,,,,,,,,,,2.6,3.2,2.75
13/09/14,Sp Lisbon,Belenenses,1,1,D,1,1,D,,,,,,,,,,,,,,1.36,4.5,9
14/09/14,Boavista,Academica,1,0,H,0,0,D,,,,,,,,,,,,,,2.88,3.3,2.4
14/09/14,Estoril,Nacional,2,1,H,1,0,H,,,,,,,,,,,,,,2.1,3.3,3.5
14/09/14,Guimaraes,Porto,1,1,D,0,0,D,,,,,,,,,,,,,,6.5,3.8,1.55
14/09/14,Maritimo,Penafiel,2,0,H,0,0,D,,,,,,,,,,,,,,1.67,3.6,5.25
14/09/14,Pacos Ferreira,Gil Vicente,1,1,D,1,0,H,,,,,,,,,,,,,,1.8,3.3,4.75
19/09/14,Guimaraes,Pacos Ferreira,1,1,D,0,1,A,,,,,,,,,,,,,,1.95,3.25,4.2
20/09/14,Nacional,Sp Braga,1,1,D,0,0,D,,,,,,,,,,,,,,2.88,3.2,2.5
20/09/14,Penafiel,Setubal,2,0,H,1,0,H,,,,,,,,,,,,,,2.63,3.2,2.7
21/09/14,Belenenses,Maritimo,1,0,H,0,0,D,,,,,,,,,,,,,,2.5,3.3,2.8
21/09/14,Benfica,Moreirense,3,1,H,0,1,A,,,,,,,,,,,,,,1.2,6,15
21/09/14,Gil Vicente,Sp Lisbon,0,4,A,0,2,A,,,,,,,,,,,,,,7,3.9,1.5
21/09/14,Porto,Boavista,0,0,D,0,0,D,,,,,,,,,,,,,,1.14,7.5,17
21/09/14,Rio Ave,Arouca,1,2,A,0,1,A,,,,,,,,,,,,,,1.7,3.5,5.25
22/09/14,Academica,Estoril,2,2,D,2,1,H,,,,,,,,,,,,,,2.75,3.3,2.5
26/09/14,Sp Lisbon,Porto,1,1,D,1,0,H,,,,,,,,,,,,,,3.1,3.1,2.4
27/09/14,Estoril,Benfica,2,3,A,1,2,A,,,,,,,,,,,,,,5,3.6,1.7
27/09/14,Sp Braga,Rio Ave,3,0,H,0,0,D,,,,,,,,,,,,,,1.73,3.5,5
28/09/14,Arouca,Academica,0,1,A,0,1,A,,,,,,,,,,,,,,2.25,3.25,3.2
28/09/14,Boavista,Gil Vicente,3,2,H,1,1,D,,,,,,,,,,,,,,2.5,3.25,2.8
28/09/14,Maritimo,Guimaraes,4,0,H,4,0,H,,,,,,,,,,,,,,2.4,3.25,2.9
28/09/14,Moreirense,Penafiel,0,0,D,0,0,D,,,,,,,,,,,,,,1.83,3.5,4.33
28/09/14,Setubal,Nacional,2,0,H,2,0,H,,,,,,,,,,,,,,2.6,3.2,2.7
29/09/14,Pacos Ferreira,Belenenses,2,0,H,1,0,H,,,,,,,,,,,,,,2.05,3.3,3.6
03/10/14,Guimaraes,Boavista,3,0,H,1,0,H,,,,,,,,,,,,,,1.62,3.6,6
04/10/14,Penafiel,Sp Lisbon,0,4,A,0,0,D,,,,,,,,,,,,,,8,4,1.44
05/10/14,Academica,Moreirense,0,0,D,0,0,D,,,,,,,,,,,,,,2.38,3.1,3.1
05/10/14,Belenenses,Setubal,1,1,D,0,1,A,,,,,,,,,,,,,,2.2,3.1,3.5
05/10/14,Benfica,Arouca,4,0,H,0,0,D,,,,,,,,,,,,,,1.2,6.5,13
05/10/14,Gil Vicente,Estoril,1,1,D,1,1,D,,,,,,,,,,,,,,3.8,3.3,2
05/10/14,Nacional,Rio Ave,0,0,D,0,0,D,,,,,,,,,,,,,,2.05,3.3,3.6
05/10/14,Pacos Ferreira,Maritimo,3,2,H,0,1,A,,,,,,,,,,,,,,2.25,3.1,3.4
05/10/14,Porto,Sp Braga,2,1,H,1,1,D,,,,,,,,,,,,,,1.44,4,8
24/10/14,Setubal,Guimaraes,0,1,A,0,0,D,,,,,,,,,,,,,,2.75,3.3,2.5
25/10/14,Arouca,Porto,0,5,A,0,3,A,,,,,,,,,,,,,,8.5,4.75,1.36
25/10/14,Boavista,Pacos Ferreira,1,2,A,0,1,A,,,,,,,,,,,,,,3.5,3.2,2.15
25/10/14,Moreirense,Gil Vicente,2,0,H,0,0,D,,,,,,,,,,,,,,1.91,3.25,4.33
26/10/14,Estoril,Belenenses,1,2,A,0,1,A,,,,,,,,,,,,,,1.75,3.4,5
26/10/14,Nacional,Academica,1,0,H,0,0,D,,,,,,,,,,,,,,1.85,3.4,4.33
26/10/14,Sp Braga,Benfica,2,1,H,1,1,D,,,,,,,,,,,,,,4.33,3.6,1.8
26/10/14,Sp Lisbon,Maritimo,4,2,H,3,0,H,,,,,,,,,,,,,,1.44,4.33,7
27/10/14,Rio Ave,Penafiel,3,2,H,2,1,H,,,,,,,,,,,,,,1.73,3.4,5.25
31/10/14,Benfica,Rio Ave,1,0,H,0,0,D,,,,,,,,,,,,,,1.33,4.5,11
