Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
09/08/24,Sp Lisbon,Rio Ave,3,1,H,2,0,H,,23,3,6,1,9,14,6,1,2,2,0,0,1.17,8,13
10/08/24,AVS,Nacional,1,1,D,0,1,A,,17,6,3,2,8,13,4,2,1,1,0,0,2.25,3.25,3.2
10/08/24,Casa Pia,Boavista,0,1,A,0,0,D,,15,5,4,2,12,6,3,1,2,1,0,0,1.91,3.4,4
10/08/24,Porto,Gil Vicente,3,0,H,1,0,H,,16,3,7,2,18,10,6,2,0,3,0,1,1.18,6.5,15
11/08/24,Estoril,Santa Clara,1,4,A,1,1,D,,4,9,2,8,11,20,1,3,6,3,0,0,2.15,3.1,3.6
11/08/24,Famalicao,Benfica,2,0,H,1,0,H,,9,10,5,1,8,13,0,7,3,4,0,0,7,4.33,1.44
11/08/24,Farense,Moreirense,1,2,A,0,1,A,,10,10,5,6,14,11,5,4,0,4,0,1,2.9,3.25,2.4
11/08/24,Sp Braga,Estrela,1,1,D,0,0,D,,13,6,5,4,14,9,13,4,3,5,0,0,1.38,4.75,7.5
12/08/24,Arouca,Guimaraes,0,1,A,0,1,A,,8,11,0,4,13,11,6,5,7,2,1,0,2.88,3.4,2.38
16/08/24,Santa Clara,Porto,0,2,A,0,2,A,,5,8,2,6,19,12,2,2,2,3,1,0,6,4.1,1.53
16/08/24,Gil Vicente,AVS,4,2,H,2,2,D,,16,10,6,5,6,12,2,3,1,4,0,1,2.2,3.25,3.3
17/08/24,Rio Ave,Farense,1,0,H,1,0,H,,9,14,3,4,8,16,7,14,0,1,0,0,2,3.3,3.9
17/08/24,Nacional,Sp Lisbon,1,6,A,1,2,A,,12,20,6,10,9,10,4,3,1,1,0,0,10,6,1.25
17/08/24,Benfica,Casa Pia,3,0,H,0,0,D,,26,5,7,1,6,14,12,2,0,1,0,0,1.18,7.5,12
18/08/24,Moreirense,Arouca,3,1,H,2,1,H,,14,15,6,3,14,12,7,5,1,2,0,0,2.3,3.25,3.1
18/08/24,Guimaraes,Estoril,1,0,H,1,0,H,,14,3,5,1,15,17,9,3,2,1,0,0,1.57,4,5.5
18/08/24,Boavista,Sp Braga,0,1,A,0,1,A,,7,12,1,3,8,9,3,8,3,1,0,0,5.5,3.9,1.6
19/08/24,Estrela,Famalicao,0,3,A,0,1,A,,8,11,2,8,10,10,2,4,3,1,0,0,2.5,3.2,2.88
23/08/24,Farense,Sp Lisbon,0,5,A,0,2,A,,4,28,1,8,18,5,1,5,4,1,0,0,10,8,1.2
24/08/24,Casa Pia,Santa Clara,0,2,A,0,0,D,,10,7,3,4,14,21,7,1,4,4,1,0,2.75,3.1,2.63
24/08/24,Porto,Rio Ave,2,0,H,2,0,H,,23,0,12,0,14,15,9,3,0,2,0,1,1.25,6.25,10
24/08/24,Benfica,Estrela,1,0,H,1,0,H,,16,5,9,0,19,12,12,2,4,3,0,0,1.18,7.5,13
24/08/24,Famalicao,Boavista,1,0,H,1,0,H,,10,5,4,2,18,16,7,3,1,3,0,0,1.55,3.8,6.5
25/08/24,Arouca,Nacional,1,0,H,1,0,H,,10,11,4,1,17,11,9,2,2,6,0,0,2.05,3.4,3.5
25/08/24,Estoril,Gil Vicente,0,0,D,0,0,D,,12,10,2,4,19,6,8,1,4,1,0,0,2.6,3.3,2.63
25/08/24,AVS,Guimaraes,1,0,H,0,0,D,,9,13,2,5,15,13,3,6,3,3,0,0,4.2,3.3,1.91
25/08/24,Sp Braga,Moreirense,3,1,H,1,0,H,,19,12,7,5,11,7,6,1,0,2,0,0,1.57,4.33,5.25
30/08/24,Moreirense,Benfica,1,1,D,0,0,D,,8,12,6,4,17,7,0,8,3,5,0,0,7,4.33,1.44
31/08/24,Santa Clara,AVS,2,1,H,1,1,D,,15,9,6,2,12,9,3,2,1,2,0,0,1.8,3.4,4.75
31/08/24,Boavista,Estoril,0,0,D,0,0,D,,19,7,5,1,12,19,8,3,2,5,0,0,2.25,3.1,3.3
31/08/24,Estrela,Casa Pia,0,1,A,0,0,D,,14,15,4,6,9,22,2,7,1,1,0,0,2.3,3.2,3.2
31/08/24,Sp Lisbon,Porto,2,0,H,0,0,D,,11,8,4,2,14,18,2,3,1,5,0,0,1.75,3.8,4.33
01/09/24,Nacional,Farense,2,0,H,1,0,H,,17,14,4,2,19,16,4,4,3,3,0,0,2.2,3.4,3.2
01/09/24,Rio Ave,Arouca,1,0,H,1,0,H,,11,13,3,3,16,19,8,8,1,3,0,0,2.3,3.25,3.1
01/09/24,Gil Vicente,Sp Braga,0,0,D,0,0,D,,10,8,5,2,8,18,4,5,4,1,0,0,4.5,3.8,1.73
01/09/24,Guimaraes,Famalicao,2,1,H,1,1,D,,8,8,4,4,18,12,5,7,5,3,0,0,1.95,3.4,3.9
13/09/24,Arouca,Sp Lisbon,0,3,A,0,1,A,,6,21,2,6,14,11,2,8,3,0,0,0,13,6,1.22
14/09/24,Casa Pia,Moreirense,3,1,H,0,1,A,,16,12,4,2,23,10,4,5,5,2,0,0,2.7,3,2.8
14/09/24,AVS,Rio Ave,1,0,H,0,0,D,,11,17,3,3,13,12,4,11,4,2,0,0,2.7,3.1,2.75
14/09/24,Benfica,Santa Clara,4,1,H,2,1,H,,15,6,7,2,14,7,5,1,1,3,0,0,1.25,6,10
14/09/24,Famalicao,Gil Vicente,1,1,D,1,0,H,,13,8,4,3,11,16,8,1,1,0,0,0,1.85,3.3,4.5
15/09/24,Porto,Farense,2,1,H,0,0,D,,23,12,11,5,7,19,11,0,2,3,0,0,1.14,7.5,21
15/09/24,Estoril,Nacional,1,0,H,1,0,H,,11,15,3,3,22,14,3,4,2,1,0,1,2.3,3.3,3.1
15/09/24,Sp Braga,Guimaraes,0,2,A,0,0,D,,5,10,2,4,20,17,6,4,3,3,1,0,2,3.6,3.5
16/09/24,Estrela,Boavista,2,2,D,1,2,A,,20,12,3,4,8,17,9,2,3,4,0,0,1.91,3.3,4.2
20/09/24,Nacional,Sp Braga,0,3,A,0,0,D,,12,15,2,5,12,17,6,6,3,3,0,0,5.25,3.8,1.65
21/09/24,Rio Ave,Estoril,2,2,D,1,0,H,,15,8,7,3,16,9,7,4,2,2,0,0,1.91,3.4,4.1
21/09/24,Santa Clara,Estrela,1,0,H,0,0,D,,8,11,4,4,17,18,3,8,2,3,0,0,1.75,3.5,5
