Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
06/08/21,Sp Lisbon,Vizela,3,0,H,0,0,D,,15,6,5,1,9,16,3,5,1,3,0,0,1.28,5.5,11
07/08/21,Arouca,Estoril,0,2,A,0,1,A,,11,12,3,6,14,13,3,2,1,3,0,0,2.25,3.1,3.4
07/08/21,Moreirense,Benfica,1,2,A,1,2,A,,8,9,3,6,20,18,0,6,4,4,0,1,8,4.5,1.4
07/08/21,Maritimo,Sp Braga,0,2,A,0,0,D,,7,12,0,5,23,12,3,6,3,3,0,0,5,3.4,1.75
08/08/21,Guimaraes,Portimonense,0,1,A,0,0,D,,18,7,3,1,15,12,10,5,2,3,0,0,2,3.2,4
08/08/21,Tondela,Santa Clara,3,0,H,1,0,H,,10,23,5,5,18,12,3,5,1,3,0,0,3,3.1,2.45
08/08/21,Porto,Belenenses,2,0,H,1,0,H,,21,7,7,3,11,15,8,3,2,3,0,0,1.22,6,11
08/08/21,Pacos Ferreira,Famalicao,2,0,H,0,0,D,,20,10,3,2,33,20,6,3,2,4,0,0,2.37,3.25,3
09/08/21,Gil Vicente,Boavista,3,0,H,2,0,H,,9,13,6,5,21,10,1,5,3,3,0,0,2.1,3.1,3.8
13/08/21,Estoril,Guimaraes,0,0,D,0,0,D,,7,12,1,2,15,14,4,9,1,4,0,1,2.7,3.2,2.45
14/08/21,Vizela,Tondela,2,1,H,0,1,A,,20,8,6,2,18,11,11,4,2,3,0,0,2.37,3.2,2.8
14/08/21,Benfica,Arouca,2,0,H,2,0,H,,17,3,5,1,17,2,4,2,1,0,0,1,1.18,6.5,15
14/08/21,Sp Braga,Sp Lisbon,1,2,A,0,1,A,,16,5,6,3,18,14,6,5,3,4,0,1,3.2,3.4,2.15
15/08/21,Portimonense,Gil Vicente,0,1,A,0,0,D,,18,7,5,4,11,18,5,4,3,2,0,0,2.3,3.2,3
15/08/21,Famalicao,Porto,1,2,A,0,2,A,,7,12,1,4,16,14,3,2,3,1,0,0,7,4.5,1.36
15/08/21,Santa Clara,Moreirense,2,2,D,0,0,D,,17,10,4,4,13,21,5,4,5,4,0,1,2.1,3.2,3.25
16/08/21,Boavista,Pacos Ferreira,3,0,H,1,0,H,,8,17,4,5,16,15,2,8,3,2,0,0,2.62,3.2,2.75
16/08/21,Belenenses,Maritimo,1,2,A,1,2,A,,5,13,2,4,22,21,3,4,4,5,0,0,2.37,3.1,3.1
20/08/21,Arouca,Famalicao,2,1,H,0,1,A,,22,10,6,5,18,22,10,9,4,4,0,0,2.9,3.1,2.5
20/08/21,Moreirense,Sp Braga,2,3,A,0,2,A,,13,16,5,7,14,10,6,0,4,2,0,0,4.75,3.8,1.66
21/08/21,Gil Vicente,Benfica,0,2,A,0,0,D,,5,21,2,7,7,13,3,9,3,2,0,0,5.5,4,1.55
21/08/21,Sp Lisbon,Belenenses,2,0,H,1,0,H,,26,3,7,0,15,12,10,0,2,2,0,1,1.16,6.5,15
22/08/21,Tondela,Portimonense,0,3,A,0,2,A,,11,7,3,5,14,18,6,5,4,4,0,0,2.75,3,2.5
22/08/21,Maritimo,Porto,1,1,D,1,1,D,,5,16,1,5,21,18,3,4,4,1,0,0,9,4.33,1.33
22/08/21,Guimaraes,Vizela,4,0,H,0,0,D,,20,4,8,2,15,17,8,2,4,4,0,0,1.65,3.6,5.5
23/08/21,Pacos Ferreira,Estoril,1,3,A,1,1,D,,10,14,2,4,24,12,5,4,3,3,0,0,2.1,3.1,3.5
23/08/21,Boavista,Santa Clara,2,0,H,1,0,H,,9,11,4,2,16,12,5,5,3,3,0,0,2.3,3,3.25
27/08/21,Belenenses,Moreirense,1,1,D,1,0,H,,4,18,1,6,12,13,3,11,5,4,1,0,3.5,3,2.2
